home_score,home_wins,home_losses,home_fgm,home_fga,home_3pm,home_3pa,home_ftm,home_fta,home_oreb,home_dreb,home_treb,home_ast,home_blk,home_to,home_pf,home_poss,away_score,away_wins,away_losses,away_fgm,away_fga,away_3pm,away_3pa,away_ftm,away_fta,away_oreb,away_dreb,away_treb,away_ast,away_blk,away_to,away_pf,away_poss,winner
84,2,4,24,61,8,25,27,38,14,27,4,11,3,14,26,53,77,4,2,27,62,8,22,15,20,12,29,5,17,3,13,17,57,away
82,0,1,29,65,10,31,14,22,12,26,5,14,4,14,16,62,55,0,2,22,56,8,24,4,6,10,18,2,12,3,14,18,53,home
89,5,1,35,73,7,22,12,19,14,34,2,17,3,11,16,66,77,5,1,29,59,6,20,13,20,13,24,1,16,7,11,16,56,away
80,1,0,25,54,1,6,29,43,10,32,1,16,1,11,28,52,92,1,1,34,65,7,16,18,28,8,34,1,17,5,16,26,72,home
72,9,8,25,59,7,22,14,21,11,28,4,13,5,14,18,57,74,12,4,26,56,8,22,15,23,9,26,3,15,4,12,19,56,away
77,8,2,28,58,5,16,16,26,12,28,3,11,3,14,20,57,67,5,4,25,57,7,21,12,17,11,29,3,12,2,13,18,54,home
72,14,15,25,61,7,20,15,20,10,25,3,14,5,13,18,57,73,16,13,26,56,6,18,15,21,10,27,3,14,4,13,18,55,away
75,19,7,26,58,8,21,16,21,12,24,3,16,5,13,20,54,77,17,10,26,61,9,24,15,21,11,25,3,13,5,10,17,54,home
70,7,14,25,57,9,23,12,17,7,27,3,13,4,13,19,58,83,12,11,28,61,9,23,19,25,10,25,3,14,4,14,19,61,away
70,14,9,24,55,6,19,16,24,12,23,4,13,4,14,16,52,83,17,5,30,62,9,24,15,20,12,30,4,19,4,12,17,59,away
75,19,11,25,59,6,20,19,26,12,23,3,12,3,11,17,52,72,14,16,25,57,5,15,17,24,12,26,4,12,4,14,19,54,home
86,3,0,30,66,9,25,16,20,9,35,4,20,5,13,16,66,74,1,1,26,58,10,23,12,18,6,21,3,16,5,14,23,62,home
75,9,5,26,55,6,18,17,24,11,25,3,15,4,14,20,55,83,11,4,29,61,9,25,15,20,10,28,2,16,6,13,21,61,home
68,10,15,23,56,8,24,14,19,10,22,2,14,3,12,18,52,78,15,10,28,61,8,22,14,20,12,27,3,15,3,12,17,57,away
68,4,6,24,58,9,25,10,14,10,24,3,14,4,12,19,54,65,3,6,23,53,9,24,9,13,7,21,2,12,2,12,17,54,away
73,19,3,28,61,7,23,10,15,12,27,2,14,3,13,17,58,75,3,2,23,54,5,16,24,32,7,35,4,7,5,16,22,58,home
